5x5
J=1.0;h=0.0;kT=2.7
t E M
8216576 100.0 25.0
8217600 84.0 23.0
8218624 100.0 25.0
8219648 100.0 25.0
8220672 100.0 25.0
8221696 100.0 25.0
8222720 100.0 25.0
8223744 100.0 25.0
8224768 100.0 25.0
8225792 100.0 25.0
8226816 100.0 25.0
8227840 100.0 25.0
8228864 100.0 25.0
8229888 100.0 25.0
8230912 100.0 25.0
8231936 84.0 23.0
8232960 100.0 25.0
8233984 68.0 19.0
8235008 100.0 25.0
8236032 100.0 25.0
8237056 100.0 25.0
8238080 100.0 25.0
8239104 100.0 25.0
8240128 100.0 25.0
8241152 100.0 25.0
8242176 100.0 25.0
8243200 100.0 25.0
8244224 100.0 25.0
8245248 100.0 25.0
8246272 100.0 25.0
8247296 100.0 25.0
8248320 100.0 25.0
8249344 100.0 25.0
8250368 100.0 25.0
8251392 100.0 25.0
8252416 100.0 25.0
8253440 100.0 25.0
8254464 100.0 25.0
8255488 100.0 25.0
8256512 100.0 25.0
8257536 100.0 25.0
8258560 84.0 23.0
8259584 84.0 23.0
8260608 100.0 25.0
8261632 100.0 25.0
8262656 100.0 25.0
8263680 100.0 25.0
8264704 100.0 25.0
8265728 84.0 23.0
8266752 100.0 25.0
8267776 84.0 23.0
8268800 100.0 25.0
8269824 100.0 25.0
8270848 100.0 25.0
8271872 100.0 25.0
8272896 100.0 25.0
8273920 100.0 25.0
8274944 100.0 25.0
8275968 84.0 23.0
8276992 100.0 25.0
8278016 100.0 25.0
8279040 100.0 25.0
8280064 100.0 25.0
8281088 100.0 25.0
8282112 100.0 25.0
8283136 100.0 25.0
8284160 100.0 25.0
8285184 100.0 25.0
8286208 100.0 25.0
8287232 100.0 25.0
8288256 100.0 25.0
8289280 100.0 25.0
8290304 100.0 25.0
8291328 100.0 25.0
8292352 100.0 25.0
8293376 100.0 25.0
8294400 84.0 23.0
8295424 100.0 25.0
8296448 100.0 25.0
8297472 100.0 25.0
8298496 100.0 25.0
8299520 100.0 25.0
8300544 100.0 25.0
8301568 100.0 25.0
8302592 100.0 25.0
8303616 100.0 25.0
8304640 100.0 25.0
8305664 100.0 25.0
8306688 84.0 23.0
8307712 100.0 25.0
8308736 100.0 25.0
8309760 100.0 25.0
8310784 100.0 25.0
8311808 100.0 25.0
8312832 100.0 25.0
8313856 84.0 23.0
8314880 84.0 23.0
8315904 100.0 25.0
8316928 84.0 23.0
8317952 100.0 25.0
8318976 100.0 25.0
8320000 100.0 25.0
8321024 100.0 25.0
8322048 100.0 25.0
8323072 100.0 25.0
8324096 100.0 25.0
8325120 100.0 25.0
8326144 84.0 23.0
8327168 100.0 25.0
8328192 100.0 25.0
8329216 100.0 25.0
8330240 100.0 25.0
8331264 100.0 25.0
8332288 100.0 25.0
8333312 100.0 25.0
8334336 100.0 25.0
8335360 100.0 25.0
8336384 100.0 25.0
8337408 100.0 25.0
8338432 100.0 25.0
8339456 100.0 25.0
8340480 100.0 25.0
8341504 100.0 25.0
8342528 100.0 25.0
8343552 100.0 25.0
8344576 100.0 25.0
8345600 100.0 25.0
8346624 100.0 25.0
8347648 100.0 25.0
8348672 100.0 25.0
8349696 100.0 25.0
8350720 100.0 25.0
8351744 100.0 25.0
8352768 100.0 25.0
8353792 100.0 25.0
8354816 84.0 23.0
8355840 100.0 25.0
8356864 100.0 25.0
8357888 100.0 25.0
8358912 100.0 25.0
8359936 100.0 25.0
8360960 100.0 25.0
8361984 100.0 25.0
8363008 100.0 25.0
8364032 100.0 25.0
8365056 100.0 25.0
8366080 100.0 25.0
8367104 100.0 25.0
8368128 100.0 25.0
8369152 100.0 25.0
8370176 100.0 25.0
8371200 100.0 25.0
8372224 100.0 25.0
8373248 100.0 25.0
8374272 100.0 25.0
8375296 100.0 25.0
8376320 100.0 25.0
8377344 100.0 25.0
8378368 100.0 25.0
8379392 100.0 25.0
8380416 100.0 25.0
8381440 100.0 25.0
8382464 100.0 25.0
8383488 100.0 25.0
8384512 100.0 25.0
8385536 84.0 23.0
8386560 100.0 25.0
8387584 100.0 25.0
8388608 100.0 25.0
8389632 100.0 25.0
8390656 100.0 25.0
8391680 100.0 25.0
8392704 100.0 25.0
8393728 100.0 25.0
8394752 100.0 25.0
8395776 100.0 25.0
8396800 100.0 25.0
8397824 100.0 25.0
8398848 84.0 23.0
8399872 100.0 25.0
8400896 100.0 25.0
8401920 100.0 25.0
8402944 100.0 25.0
8403968 100.0 25.0
8404992 100.0 25.0
8406016 84.0 23.0
8407040 84.0 23.0
8408064 100.0 25.0
8409088 100.0 25.0
8410112 100.0 25.0
8411136 100.0 25.0
8412160 100.0 25.0
8413184 100.0 25.0
8414208 100.0 25.0
8415232 100.0 25.0
8416256 84.0 23.0
8417280 100.0 25.0
8418304 100.0 25.0
8419328 100.0 25.0
8420352 100.0 25.0
8421376 100.0 25.0
8422400 100.0 25.0
8423424 100.0 25.0
8424448 100.0 25.0
8425472 100.0 25.0
8426496 100.0 25.0
8427520 100.0 25.0
8428544 100.0 25.0
8429568 100.0 25.0
8430592 100.0 25.0
8431616 100.0 25.0
8432640 100.0 25.0
8433664 100.0 25.0
8434688 100.0 25.0
8435712 100.0 25.0
8436736 100.0 25.0
8437760 100.0 25.0
8438784 100.0 25.0
8439808 100.0 25.0
8440832 100.0 25.0
8441856 100.0 25.0
8442880 84.0 23.0
8443904 100.0 25.0
8444928 84.0 23.0
8445952 100.0 25.0
8446976 100.0 25.0
8448000 84.0 23.0
8449024 100.0 25.0
8450048 100.0 25.0
8451072 100.0 25.0
8452096 100.0 25.0
8453120 84.0 23.0
8454144 100.0 25.0
8455168 100.0 25.0
8456192 100.0 25.0
8457216 100.0 25.0
8458240 100.0 25.0
8459264 100.0 25.0
8460288 100.0 25.0
8461312 100.0 25.0
8462336 100.0 25.0
8463360 100.0 25.0
8464384 100.0 25.0
8465408 100.0 25.0
8466432 100.0 25.0
8467456 100.0 25.0
8468480 100.0 25.0
8469504 100.0 25.0
8470528 100.0 25.0
8471552 100.0 25.0
8472576 100.0 25.0
8473600 100.0 25.0
8474624 100.0 25.0
8475648 100.0 25.0
8476672 100.0 25.0
8477696 100.0 25.0
8478720 100.0 25.0
8479744 100.0 25.0
8480768 100.0 25.0
8481792 100.0 25.0
8482816 100.0 25.0
8483840 100.0 25.0
8484864 100.0 25.0
8485888 84.0 23.0
8486912 100.0 25.0
8487936 100.0 25.0
8488960 100.0 25.0
8489984 100.0 25.0
8491008 100.0 25.0
8492032 100.0 25.0
8493056 100.0 25.0
8494080 100.0 25.0
8495104 100.0 25.0
8496128 100.0 25.0
8497152 100.0 25.0
8498176 84.0 23.0
8499200 100.0 25.0
8500224 100.0 25.0
8501248 100.0 25.0
8502272 100.0 25.0
8503296 100.0 25.0
8504320 100.0 25.0
8505344 100.0 25.0
8506368 100.0 25.0
8507392 100.0 25.0
8508416 100.0 25.0
8509440 100.0 25.0
8510464 100.0 25.0
8511488 100.0 25.0
8512512 100.0 25.0
8513536 100.0 25.0
8514560 100.0 25.0
8515584 100.0 25.0
8516608 100.0 25.0
8517632 100.0 25.0
8518656 100.0 25.0
8519680 100.0 25.0
8520704 100.0 25.0
8521728 100.0 25.0
8522752 100.0 25.0
8523776 100.0 25.0
8524800 100.0 25.0
8525824 100.0 25.0
8526848 100.0 25.0
8527872 100.0 25.0
8528896 100.0 25.0
8529920 100.0 25.0
8530944 84.0 23.0
8531968 100.0 25.0
8532992 100.0 25.0
8534016 76.0 21.0
8535040 84.0 23.0
8536064 100.0 25.0
8537088 100.0 25.0
8538112 100.0 25.0
8539136 100.0 25.0
8540160 100.0 25.0
8541184 100.0 25.0
8542208 100.0 25.0
8543232 100.0 25.0
8544256 100.0 25.0
8545280 100.0 25.0
8546304 100.0 25.0
8547328 100.0 25.0
8548352 100.0 25.0
8549376 100.0 25.0
8550400 100.0 25.0
8551424 100.0 25.0
8552448 100.0 25.0
8553472 100.0 25.0
8554496 100.0 25.0
8555520 100.0 25.0
8556544 100.0 25.0
8557568 84.0 23.0
8558592 100.0 25.0
8559616 100.0 25.0
8560640 100.0 25.0
8561664 84.0 23.0
8562688 100.0 25.0
8563712 100.0 25.0
8564736 84.0 23.0
8565760 100.0 25.0
8566784 100.0 25.0
8567808 100.0 25.0
8568832 100.0 25.0
8569856 100.0 25.0
8570880 84.0 23.0
8571904 100.0 25.0
8572928 100.0 25.0
8573952 100.0 25.0
8574976 100.0 25.0
8576000 100.0 25.0
8577024 100.0 25.0
8578048 100.0 25.0
8579072 100.0 25.0
8580096 100.0 25.0
8581120 100.0 25.0
8582144 100.0 25.0
8583168 100.0 25.0
8584192 100.0 25.0
8585216 100.0 25.0
8586240 100.0 25.0
8587264 100.0 25.0
8588288 100.0 25.0
8589312 100.0 25.0
8590336 100.0 25.0
8591360 100.0 25.0
8592384 100.0 25.0
8593408 100.0 25.0
8594432 84.0 23.0
8595456 100.0 25.0
8596480 100.0 25.0
8597504 100.0 25.0
8598528 100.0 25.0
8599552 84.0 23.0
8600576 100.0 25.0
8601600 100.0 25.0
8602624 100.0 25.0
8603648 100.0 25.0
8604672 100.0 25.0
8605696 100.0 25.0
8606720 100.0 25.0
8607744 100.0 25.0
8608768 100.0 25.0
8609792 100.0 25.0
8610816 84.0 23.0
8611840 100.0 25.0
8612864 100.0 25.0
8613888 100.0 25.0
8614912 100.0 25.0
8615936 100.0 25.0
8616960 100.0 25.0
8617984 100.0 25.0
8619008 100.0 25.0
8620032 100.0 25.0
8621056 100.0 25.0
8622080 100.0 25.0
8623104 100.0 25.0
8624128 100.0 25.0
8625152 100.0 25.0
8626176 100.0 25.0
8627200 100.0 25.0
8628224 100.0 25.0
8629248 100.0 25.0
8630272 100.0 25.0
8631296 84.0 23.0
8632320 100.0 25.0
8633344 100.0 25.0
8634368 100.0 25.0
8635392 100.0 25.0
8636416 100.0 25.0
8637440 100.0 25.0
8638464 100.0 25.0
8639488 100.0 25.0
8640512 100.0 25.0
8641536 100.0 25.0
8642560 84.0 -23.0
8643584 100.0 -25.0
8644608 100.0 -25.0
8645632 100.0 -25.0
8646656 100.0 -25.0
8647680 100.0 -25.0
8648704 100.0 -25.0
8649728 100.0 -25.0
8650752 100.0 -25.0
8651776 100.0 -25.0
8652800 100.0 -25.0
8653824 100.0 -25.0
8654848 100.0 -25.0
8655872 100.0 -25.0
8656896 100.0 -25.0
8657920 100.0 -25.0
8658944 100.0 -25.0
8659968 100.0 -25.0
8660992 100.0 -25.0
8662016 100.0 -25.0
8663040 100.0 -25.0
8664064 100.0 -25.0
8665088 100.0 -25.0
8666112 100.0 -25.0
8667136 100.0 -25.0
8668160 100.0 -25.0
8669184 100.0 -25.0
8670208 100.0 -25.0
8671232 100.0 -25.0
8672256 100.0 -25.0
8673280 100.0 -25.0
8674304 100.0 -25.0
8675328 100.0 -25.0
8676352 100.0 -25.0
8677376 100.0 -25.0
8678400 100.0 -25.0
8679424 100.0 -25.0
8680448 100.0 -25.0
8681472 100.0 -25.0
8682496 100.0 -25.0
8683520 84.0 -23.0
8684544 76.0 -21.0
8685568 100.0 -25.0
8686592 100.0 -25.0
8687616 100.0 -25.0
8688640 100.0 -25.0
8689664 100.0 -25.0
8690688 100.0 -25.0
8691712 100.0 -25.0
8692736 100.0 -25.0
8693760 100.0 -25.0
8694784 100.0 -25.0
8695808 100.0 -25.0
8696832 100.0 -25.0
8697856 100.0 -25.0
8698880 84.0 -23.0
8699904 100.0 -25.0
8700928 100.0 -25.0
8701952 100.0 -25.0
8702976 100.0 -25.0
8704000 100.0 -25.0
8705024 100.0 -25.0
8706048 100.0 -25.0
8707072 100.0 -25.0
8708096 84.0 -23.0
8709120 100.0 -25.0
8710144 100.0 -25.0
8711168 100.0 -25.0
8712192 100.0 -25.0
8713216 100.0 -25.0
8714240 100.0 -25.0
8715264 100.0 -25.0
8716288 100.0 -25.0
8717312 100.0 -25.0
8718336 100.0 -25.0
8719360 84.0 -23.0
8720384 100.0 -25.0
8721408 100.0 -25.0
8722432 100.0 -25.0
8723456 100.0 -25.0
8724480 84.0 -23.0
8725504 100.0 -25.0
8726528 100.0 -25.0
8727552 100.0 -25.0
8728576 100.0 -25.0
8729600 100.0 -25.0
8730624 100.0 -25.0
8731648 100.0 -25.0
8732672 100.0 -25.0
8733696 100.0 -25.0
8734720 100.0 -25.0
8735744 100.0 -25.0
8736768 100.0 -25.0
8737792 100.0 -25.0
8738816 100.0 -25.0
8739840 100.0 -25.0
8740864 100.0 -25.0
8741888 84.0 -23.0
8742912 68.0 -19.0
8743936 100.0 -25.0
8744960 100.0 -25.0
8745984 100.0 -25.0
8747008 100.0 -25.0
8748032 100.0 -25.0
8749056 100.0 -25.0
8750080 100.0 -25.0
8751104 100.0 -25.0
8752128 100.0 -25.0
8753152 100.0 -25.0
8754176 100.0 -25.0
8755200 100.0 -25.0
8756224 100.0 -25.0
8757248 100.0 -25.0
8758272 100.0 -25.0
8759296 100.0 -25.0
8760320 100.0 -25.0
8761344 100.0 -25.0
8762368 100.0 -25.0
8763392 100.0 -25.0
8764416 100.0 -25.0
8765440 100.0 -25.0
8766464 100.0 -25.0
8767488 100.0 -25.0
8768512 100.0 -25.0
8769536 100.0 -25.0
8770560 100.0 -25.0
8771584 100.0 -25.0
8772608 84.0 -23.0
8773632 100.0 -25.0
8774656 100.0 -25.0
8775680 100.0 -25.0
8776704 100.0 -25.0
8777728 100.0 -25.0
8778752 100.0 -25.0
8779776 100.0 -25.0
8780800 100.0 -25.0
8781824 84.0 -23.0
8782848 100.0 -25.0
8783872 100.0 -25.0
8784896 100.0 -25.0
8785920 100.0 -25.0
8786944 100.0 -25.0
8787968 100.0 -25.0
8788992 100.0 -25.0
8790016 100.0 -25.0
8791040 100.0 -25.0
8792064 100.0 -25.0
8793088 100.0 -25.0
8794112 100.0 -25.0
8795136 84.0 -23.0
8796160 100.0 -25.0
8797184 100.0 -25.0
8798208 100.0 -25.0
8799232 100.0 -25.0
8800256 100.0 -25.0
8801280 100.0 -25.0
8802304 84.0 -23.0
8803328 100.0 -25.0
8804352 100.0 -25.0
8805376 84.0 -23.0
8806400 100.0 -25.0
8807424 100.0 -25.0
8808448 100.0 -25.0
8809472 100.0 -25.0
8810496 100.0 -25.0
8811520 100.0 -25.0
8812544 100.0 -25.0
8813568 100.0 -25.0
8814592 100.0 -25.0
8815616 100.0 -25.0
8816640 100.0 -25.0
8817664 100.0 -25.0
8818688 100.0 -25.0
8819712 100.0 -25.0
8820736 100.0 -25.0
8821760 100.0 -25.0
8822784 100.0 -25.0
8823808 100.0 -25.0
8824832 100.0 -25.0
8825856 100.0 -25.0
8826880 84.0 -23.0
8827904 100.0 -25.0
8828928 100.0 -25.0
8829952 100.0 -25.0
8830976 100.0 -25.0
8832000 100.0 -25.0
8833024 100.0 -25.0
8834048 100.0 -25.0
8835072 100.0 -25.0
8836096 100.0 -25.0
8837120 100.0 -25.0
8838144 100.0 -25.0
8839168 100.0 -25.0
8840192 100.0 -25.0
8841216 100.0 -25.0
8842240 100.0 -25.0
8843264 100.0 -25.0
8844288 100.0 -25.0
8845312 100.0 -25.0
8846336 100.0 -25.0
8847360 100.0 -25.0
8848384 100.0 -25.0
8849408 100.0 -25.0
8850432 100.0 -25.0
8851456 100.0 -25.0
8852480 100.0 -25.0
8853504 84.0 -23.0
8854528 100.0 -25.0
8855552 100.0 -25.0
8856576 100.0 -25.0
8857600 84.0 -23.0
8858624 100.0 -25.0
8859648 100.0 -25.0
8860672 100.0 -25.0
8861696 100.0 -25.0
8862720 100.0 -25.0
8863744 100.0 -25.0
8864768 100.0 -25.0
8865792 100.0 -25.0
8866816 100.0 -25.0
8867840 100.0 -25.0
8868864 100.0 -25.0
8869888 100.0 -25.0
8870912 100.0 -25.0
8871936 100.0 -25.0
8872960 100.0 -25.0
8873984 100.0 -25.0
8875008 100.0 -25.0
8876032 100.0 -25.0
8877056 100.0 -25.0
8878080 100.0 -25.0
8879104 100.0 -25.0
8880128 100.0 -25.0
8881152 100.0 -25.0
8882176 100.0 -25.0
8883200 100.0 -25.0
8884224 100.0 -25.0
8885248 100.0 -25.0
8886272 100.0 -25.0
8887296 100.0 -25.0
8888320 100.0 -25.0
8889344 100.0 -25.0
8890368 100.0 -25.0
8891392 100.0 -25.0
8892416 100.0 -25.0
8893440 100.0 -25.0
8894464 84.0 -23.0
8895488 100.0 -25.0
8896512 100.0 -25.0
8897536 100.0 -25.0
8898560 100.0 -25.0
8899584 100.0 -25.0
8900608 84.0 -23.0
8901632 100.0 -25.0
8902656 100.0 -25.0
8903680 100.0 -25.0
8904704 100.0 -25.0
8905728 100.0 -25.0
8906752 100.0 -25.0
8907776 100.0 -25.0
8908800 100.0 -25.0
8909824 100.0 -25.0
8910848 100.0 -25.0
8911872 100.0 -25.0
8912896 100.0 -25.0
8913920 100.0 -25.0
8914944 100.0 -25.0
8915968 100.0 -25.0
8916992 100.0 -25.0
8918016 100.0 -25.0
8919040 100.0 -25.0
8920064 100.0 -25.0
8921088 100.0 -25.0
8922112 100.0 -25.0
8923136 100.0 -25.0
8924160 100.0 -25.0
8925184 100.0 -25.0
8926208 100.0 -25.0
8927232 100.0 -25.0
8928256 84.0 -23.0
8929280 100.0 -25.0
8930304 100.0 -25.0
8931328 100.0 -25.0
8932352 84.0 -23.0
8933376 100.0 -25.0
8934400 84.0 -23.0
8935424 100.0 -25.0
8936448 76.0 -21.0
8937472 84.0 -23.0
8938496 100.0 -25.0
8939520 100.0 -25.0
8940544 100.0 -25.0
8941568 100.0 -25.0
8942592 100.0 -25.0
8943616 100.0 -25.0
8944640 100.0 -25.0
8945664 100.0 -25.0
8946688 100.0 -25.0
8947712 100.0 -25.0
8948736 100.0 -25.0
8949760 100.0 -25.0
8950784 84.0 -23.0
8951808 100.0 -25.0
8952832 100.0 -25.0
8953856 100.0 -25.0
8954880 100.0 -25.0
8955904 100.0 -25.0
8956928 100.0 -25.0
8957952 100.0 -25.0
8958976 100.0 -25.0
8960000 100.0 -25.0
8961024 100.0 -25.0
8962048 100.0 -25.0
8963072 100.0 -25.0
8964096 100.0 -25.0
8965120 100.0 -25.0
8966144 100.0 -25.0
8967168 100.0 -25.0
8968192 100.0 -25.0
8969216 100.0 -25.0
8970240 100.0 -25.0
8971264 100.0 -25.0
8972288 84.0 -23.0
8973312 100.0 -25.0
8974336 100.0 -25.0
8975360 100.0 -25.0
8976384 100.0 -25.0
8977408 100.0 -25.0
8978432 100.0 -25.0
8979456 100.0 -25.0
8980480 100.0 -25.0
8981504 100.0 -25.0
8982528 100.0 -25.0
8983552 100.0 -25.0
8984576 100.0 -25.0
8985600 100.0 -25.0
8986624 100.0 -25.0
8987648 100.0 -25.0
8988672 100.0 -25.0
8989696 100.0 -25.0
8990720 100.0 -25.0
8991744 100.0 -25.0
8992768 100.0 -25.0
8993792 100.0 -25.0
8994816 100.0 -25.0
8995840 100.0 -25.0
8996864 100.0 -25.0
8997888 100.0 -25.0
8998912 100.0 -25.0
8999936 100.0 -25.0
9000960 100.0 -25.0
9001984 100.0 -25.0
9003008 100.0 -25.0
9004032 84.0 -23.0
9005056 100.0 -25.0
9006080 100.0 -25.0
9007104 100.0 -25.0
9008128 100.0 -25.0
9009152 100.0 -25.0
9010176 100.0 -25.0
9011200 100.0 -25.0
9012224 100.0 -25.0
9013248 100.0 -25.0
9014272 100.0 -25.0
9015296 100.0 -25.0
9016320 100.0 -25.0
9017344 100.0 -25.0
9018368 76.0 -21.0
9019392 100.0 -25.0
9020416 100.0 -25.0
9021440 100.0 -25.0
9022464 100.0 -25.0
9023488 100.0 -25.0
9024512 100.0 -25.0
9025536 100.0 -25.0
9026560 100.0 -25.0
9027584 100.0 -25.0
9028608 100.0 -25.0
9029632 100.0 -25.0
9030656 100.0 -25.0
9031680 100.0 -25.0
9032704 100.0 -25.0
9033728 100.0 -25.0
9034752 100.0 -25.0
9035776 100.0 -25.0
9036800 100.0 25.0
9037824 68.0 19.0
9038848 100.0 25.0
9039872 100.0 25.0
9040896 100.0 25.0
9041920 100.0 25.0
9042944 100.0 25.0
9043968 100.0 25.0
9044992 100.0 25.0
9046016 100.0 25.0
9047040 100.0 25.0
9048064 100.0 25.0
9049088 100.0 25.0
9050112 100.0 25.0
9051136 100.0 25.0
9052160 100.0 25.0
9053184 84.0 23.0
9054208 100.0 25.0
9055232 100.0 25.0
9056256 100.0 25.0
9057280 100.0 25.0
9058304 100.0 25.0
9059328 100.0 25.0
9060352 100.0 25.0
9061376 100.0 25.0
9062400 100.0 25.0
9063424 100.0 25.0
9064448 84.0 23.0
9065472 100.0 25.0
9066496 100.0 25.0
9067520 100.0 25.0
9068544 100.0 25.0
9069568 100.0 25.0
9070592 100.0 25.0
9071616 100.0 25.0
9072640 100.0 25.0
9073664 100.0 25.0
9074688 84.0 23.0
9075712 100.0 25.0
9076736 100.0 25.0
9077760 100.0 25.0
9078784 100.0 25.0
9079808 100.0 25.0
9080832 100.0 25.0
9081856 100.0 25.0
9082880 100.0 25.0
9083904 100.0 25.0
9084928 100.0 25.0
9085952 100.0 25.0
9086976 100.0 25.0
9088000 100.0 25.0
9089024 100.0 25.0
9090048 100.0 25.0
9091072 100.0 25.0
9092096 100.0 25.0
9093120 100.0 25.0
9094144 100.0 25.0
9095168 100.0 25.0
9096192 100.0 25.0
9097216 100.0 25.0
9098240 100.0 25.0
9099264 100.0 25.0
9100288 100.0 25.0
9101312 100.0 25.0
9102336 100.0 25.0
9103360 100.0 25.0
9104384 100.0 25.0
9105408 100.0 25.0
9106432 100.0 25.0
9107456 100.0 25.0
9108480 100.0 25.0
9109504 100.0 25.0
9110528 100.0 25.0
9111552 100.0 25.0
9112576 100.0 25.0
9113600 100.0 25.0
9114624 100.0 25.0
9115648 100.0 25.0
9116672 100.0 25.0
9117696 100.0 25.0
9118720 100.0 25.0
9119744 100.0 25.0
9120768 100.0 25.0
9121792 100.0 25.0
9122816 100.0 25.0
9123840 100.0 25.0
9124864 100.0 25.0
9125888 100.0 25.0
9126912 100.0 25.0
9127936 100.0 25.0
9128960 100.0 25.0
9129984 100.0 25.0
9131008 100.0 25.0
9132032 100.0 25.0
9133056 84.0 23.0
9134080 100.0 25.0
9135104 100.0 25.0
9136128 100.0 25.0
9137152 100.0 25.0
9138176 84.0 23.0
9139200 100.0 25.0
9140224 100.0 25.0
9141248 100.0 25.0
9142272 100.0 25.0
9143296 100.0 25.0
9144320 100.0 25.0
9145344 100.0 25.0
9146368 100.0 25.0
9147392 100.0 25.0
9148416 100.0 25.0
9149440 100.0 25.0
9150464 100.0 25.0
9151488 100.0 25.0
9152512 100.0 25.0
9153536 100.0 25.0
9154560 100.0 25.0
9155584 100.0 25.0
9156608 84.0 23.0
9157632 100.0 25.0
9158656 100.0 25.0
9159680 100.0 25.0
9160704 100.0 25.0
9161728 84.0 23.0
9162752 100.0 25.0
9163776 100.0 25.0
9164800 100.0 25.0
9165824 100.0 25.0
9166848 100.0 25.0
9167872 100.0 25.0
9168896 100.0 25.0
9169920 100.0 25.0
9170944 100.0 25.0
9171968 100.0 25.0
9172992 100.0 25.0
9174016 100.0 25.0
9175040 100.0 25.0
9176064 100.0 25.0
9177088 100.0 25.0
9178112 100.0 25.0
9179136 84.0 23.0
9180160 100.0 25.0
9181184 100.0 25.0
9182208 100.0 25.0
9183232 100.0 25.0
9184256 100.0 25.0
9185280 100.0 25.0
9186304 100.0 25.0
9187328 100.0 25.0
9188352 100.0 25.0
9189376 100.0 25.0
9190400 100.0 25.0
9191424 100.0 25.0
9192448 100.0 25.0
9193472 100.0 25.0
9194496 100.0 25.0
9195520 100.0 25.0
9196544 100.0 25.0
9197568 100.0 25.0
9198592 100.0 25.0
9199616 100.0 25.0
9200640 100.0 25.0
9201664 100.0 25.0
9202688 100.0 25.0
9203712 100.0 25.0
9204736 100.0 25.0
9205760 100.0 25.0
9206784 100.0 25.0
9207808 100.0 25.0
9208832 100.0 25.0
9209856 100.0 25.0
9210880 100.0 25.0
9211904 84.0 23.0
9212928 100.0 25.0
9213952 100.0 25.0
9214976 100.0 25.0
9216000 100.0 25.0
9217024 100.0 25.0
9218048 100.0 25.0
9219072 100.0 25.0
9220096 100.0 25.0
9221120 100.0 25.0
9222144 100.0 25.0
9223168 100.0 25.0
9224192 100.0 25.0
9225216 100.0 25.0
9226240 100.0 25.0
9227264 100.0 25.0
9228288 100.0 25.0
9229312 100.0 25.0
9230336 100.0 25.0
9231360 100.0 25.0
9232384 100.0 25.0
9233408 100.0 25.0
9234432 100.0 25.0
9235456 100.0 25.0
9236480 100.0 25.0
9237504 100.0 25.0
9238528 84.0 23.0
9239552 100.0 25.0
9240576 100.0 25.0
9241600 100.0 25.0
9242624 100.0 25.0
9243648 100.0 25.0
9244672 100.0 25.0
9245696 100.0 25.0
9246720 100.0 25.0
9247744 84.0 23.0
9248768 100.0 25.0
9249792 100.0 25.0
9250816 100.0 25.0
9251840 100.0 25.0
9252864 100.0 25.0
9253888 100.0 25.0
9254912 100.0 25.0
9255936 100.0 25.0
9256960 100.0 25.0
9257984 100.0 25.0
9259008 100.0 25.0
9260032 100.0 25.0
9261056 100.0 25.0
9262080 100.0 25.0
9263104 100.0 25.0
9264128 84.0 23.0
9265152 100.0 25.0
9266176 100.0 25.0
9267200 84.0 23.0
9268224 100.0 25.0
9269248 100.0 25.0
9270272 100.0 25.0
9271296 100.0 25.0
9272320 84.0 23.0
9273344 100.0 25.0
9274368 100.0 25.0
9275392 100.0 25.0
9276416 100.0 25.0
9277440 100.0 25.0
9278464 100.0 25.0
9279488 100.0 25.0
9280512 100.0 25.0
9281536 100.0 25.0
9282560 100.0 25.0
9283584 100.0 25.0
9284608 84.0 23.0
9285632 100.0 25.0
9286656 100.0 25.0
9287680 100.0 25.0
9288704 100.0 25.0
9289728 100.0 25.0
9290752 100.0 25.0
9291776 100.0 25.0
9292800 100.0 25.0
9293824 100.0 25.0
9294848 100.0 25.0
9295872 100.0 25.0
9296896 100.0 25.0
9297920 100.0 25.0
9298944 100.0 25.0
9299968 84.0 23.0
9300992 100.0 25.0
9302016 100.0 25.0
9303040 100.0 25.0
9304064 84.0 23.0
9305088 100.0 25.0
9306112 100.0 25.0
9307136 100.0 25.0
9308160 100.0 25.0
9309184 100.0 25.0
9310208 100.0 25.0
9311232 100.0 25.0
9312256 100.0 25.0
9313280 100.0 25.0
9314304 100.0 25.0
9315328 100.0 25.0
9316352 100.0 25.0
9317376 100.0 25.0
9318400 100.0 25.0
9319424 100.0 25.0
9320448 100.0 25.0
9321472 100.0 25.0
9322496 84.0 23.0
9323520 100.0 25.0
9324544 100.0 25.0
9325568 100.0 25.0
9326592 100.0 25.0
9327616 100.0 25.0
9328640 100.0 25.0
9329664 100.0 25.0
9330688 100.0 25.0
9331712 100.0 25.0
9332736 100.0 25.0
9333760 100.0 25.0
9334784 100.0 25.0
9335808 100.0 25.0
9336832 100.0 25.0
9337856 100.0 25.0
9338880 100.0 25.0
9339904 100.0 25.0
9340928 100.0 25.0
9341952 100.0 25.0
9342976 100.0 25.0
9344000 100.0 25.0
9345024 100.0 25.0
9346048 100.0 25.0
9347072 100.0 25.0
9348096 100.0 25.0
9349120 100.0 25.0
9350144 84.0 23.0
9351168 100.0 25.0
9352192 100.0 25.0
9353216 84.0 23.0
9354240 84.0 23.0
9355264 100.0 25.0
9356288 100.0 25.0
9357312 100.0 25.0
9358336 100.0 25.0
9359360 100.0 25.0
9360384 100.0 25.0
9361408 100.0 25.0
9362432 100.0 25.0
9363456 100.0 25.0
9364480 100.0 25.0
9365504 100.0 25.0
9366528 100.0 25.0
9367552 100.0 25.0
9368576 100.0 25.0
9369600 100.0 25.0
9370624 100.0 25.0
9371648 100.0 25.0
9372672 100.0 25.0
9373696 100.0 25.0
9374720 100.0 25.0
